Actual,Predicted
5,11.920488
3,11.920473
5,11.920284
4,11.920166
8,11.877769
23,11.934103
29,29.038225
29,34.74809
22,34.74809
23,34.748074
20,34.7441
32,31.773531
33,34.459003
29,34.74809
38,34.74809
25,34.74809
26,18.424791
14,12.562424
12,11.92207
9,11.920488
7,10.173311
2,6.595491
5,6.581608
2,6.5818396
2,11.920488
3,11.920488
5,11.919046
12,11.850466
14,11.989712
20,27.393038
28,29.74193
32,34.748055
34,34.74809
20,34.74809
19,34.70886
34,34.742493
39,34.7479
37,34.74809
38,34.74809
28,34.74809
32,34.73069
13,34.6619
16,17.8873
8,11.920488
9,11.750734
7,11.829914
5,7.166642
2,6.6283937
3,11.920492
3,11.920488
4,11.919367
17,11.91457
33,28.863201
30,33.472916
36,34.74809
31,34.74809
30,34.74809
28,34.74809
12,34.74809
22,21.81004
38,31.94768
23,34.74809
27,34.74778
26,34.747726
25,30.211252
22,17.498219
18,11.921553
15,11.920488
14,11.920486
10,10.362909
3,22.736454
4,11.811159
2,11.920486
2,11.920486
5,11.920429
3,11.8717785
14,11.747606
18,28.215225
40,30.520298
36,34.748043
31,34.74809
25,34.74809
40,34.74809
33,34.74809
33,34.74809
31,34.74809
47,34.74809
28,34.74809
19,34.65937
13,17.88709
12,11.92049
13,11.920488
12,11.327639
5,6.625239
4,6.6006627
3,6.582648
6,11.920488
8,11.920486
7,11.920284
18,11.920055
22,29.037666
33,34.742065
34,34.74809
29,34.74809
26,34.74809
36,34.74809
49,34.74809
33,34.74809
39,34.74809
23,34.74809
34,34.746174
23,34.74793
23,17.899965
9,11.930138
8,11.920506
11,11.920488
7,6.588589
3,10.042774
4,7.0688024
2,11.920492
2,11.920486
6,11.920475
12,11.895739
15,12.600052
19,29.028902
37,34.604618
33,34.74809
29,34.74809
19,34.74809
30,34.747448
35,34.748035
32,34.74809
29,34.74809
34,34.74809
30,34.74809
26,34.74808
26,19.507399
21,13.430996
11,11.925806
11,11.920488
11,11.92046
9,22.784569
2,11.821314
3,11.921806
3,11.92049
6,11.919926
11,11.917374
13,12.127172
22,28.930431
33,33.788494
26,34.74809
34,34.74809
34,34.74809
35,34.74809
36,34.74809
45,34.74809
41,34.74809
58,34.74809
38,34.74809
32,34.74809
27,33.478798
22,17.813295
17,11.920492
13,11.920488
11,11.916185
5,21.96714
6,11.864021
2,11.921352
3,11.920488
3,11.920488
7,11.913069
