Actual,Predicted
5.0,1.6799136
3.0,10.013668
5.0,11.644016
4.0,15.726048
8.0,15.901322
23.0,22.624823
29.0,42.541527
29.0,40.797
22.0,38.07048
23.0,31.49601
20.0,32.03125
32.0,32.055305
33.0,43.161343
29.0,43.102684
38.0,38.483288
25.0,39.135532
26.0,30.496733
14.0,28.010395
12.0,22.343027
9.0,19.882303
7.0,16.27442
2.0,13.497169
5.0,1.0182288
2.0,4.14103
2.0,1.2921528
3.0,8.233901
5.0,12.780637
12.0,15.406367
14.0,27.420635
20.0,27.874811
28.0,33.48383
32.0,40.365215
34.0,39.1142
20.0,39.364037
19.0,31.445065
34.0,36.99979
39.0,47.1049
37.0,48.074234
38.0,45.231293
28.0,42.212166
32.0,33.62697
13.0,30.938137
16.0,23.667145
8.0,21.996489
9.0,16.726368
7.0,14.255811
5.0,4.7626886
2.0,4.0525637
3.0,1.2399915
3.0,9.074055
4.0,12.393031
17.0,14.368873
33.0,37.251286
30.0,53.527775
36.0,36.62529
30.999999999999996,43.597023
30.0,36.584606
28.0,35.19347
12.0,36.21602
22.0,33.856953
38.0,39.86665
23.0,45.748367
27.0,37.003902
26.0,36.13324
25.0,31.275278
22.0,27.698214
18.0,24.44856
15.0,20.554203
14.0,16.354637
10.0,15.1844225
3.0,7.716448
4.0,0.67216533
2.0,2.0445852
2.0,8.3682575
5.0,11.295575
3.0,14.964829
14.0,16.256245
18.0,31.50633
40.0,33.9658
36.0,51.19346
30.999999999999996,40.7452
25.0,37.44311
40.0,35.32025
33.0,48.904068
33.0,44.16218
30.999999999999996,44.410732
47.0,41.506176
28.0,43.41959
19.0,33.003033
13.0,27.837994
12.0,22.887674
13.0,19.894735
12.0,17.904028
5.0,15.157404
4.0,3.2273133
3.0,2.5349987
6.0,2.0837457
8.0,10.488677
7.0,11.911294
18.0,18.137436
22.0,37.202835
33.0,35.665688
34.0,46.44403
29.0,40.02055
26.0,34.935238
36.0,36.715656
49.0,47.156303
33.0,53.805225
39.0,45.062542
23.0,46.03226
34.0,36.73269
23.0,35.034496
23.0,28.57584
9.0,26.533676
8.0,20.675205
11.0,17.16574
7.0,14.890553
3.0,4.876209
4.0,1.3019432
2.0,2.7216651
2.0,8.321621
6.0,11.443277
12.0,17.879105
15.0,28.595861
19.0,31.047516
37.0,32.803997
33.0,52.041054
29.0,40.122475
19.0,36.99245
30.0,33.96229
35.0,44.959538
32.0,49.12417
29.0,45.23054
34.0,43.010735
30.0,41.431248
26.0,35.67338
26.0,29.95466
21.0,27.428295
11.0,23.432524
11.0,18.49572
11.0,15.37112
9.0,8.092095
2.0,8.022742
3.0,1.5093544
3.0,9.200854
6.0,12.688597
11.0,17.439602
13.0,26.864632
22.0,29.490936
33.0,37.807835
26.0,46.069435
34.0,35.957264
34.0,42.270214
35.0,42.07599
36.0,50.677433
45.0,53.24072
41.0,53.14149
58.0,51.524998
38.0,53.494907
32.0,37.656746
27.0,30.726164
22.0,24.488653
17.0,21.670248
13.0,18.040894
11.0,13.130012
5.0,8.365943
6.0,4.278949
2.0,3.4770596
3.0,9.382506
3.0,9.621398
7.0,12.415512
8.0,24.946945
14.0,24.109303
33.0,32.48156
33.0,52.816288
35.0,42.849525
26.0,49.227276
40.0,38.0123
24.0,50.39428
30.0,46.000866
32.0,49.70841
30.999999999999996,44.461372
43.0,40.22049
26.0,39.199463
13.0,31.346195
19.0,25.296627
11.0,22.38019
8.0,18.43534
7.0,15.249006
8.0,4.76433
4.0,7.336081
5.0,2.2480803
5.0,9.810992
2.0,14.064981
6.0,11.230919
20.0,20.226486
23.0,40.161076
22.0,39.26815
39.0,36.00665
25.0,50.44404
29.0,37.294144
36.0,45.51937
38.0,55.124657
47.0,59.701694
28.0,61.00823
46.0,48.90124
45.0,51.782192
25.0,42.967495
29.0,33.7314
9.0,30.685818
24.0,22.85466
6.0,21.939306
20.0,15.293243
8.0,15.579278
5.0,5.9024744
5.0,3.562671
4.0,9.892933
11.0,12.451339
30.0,24.901873
40.0,56.89022
70.0,61.92231
98.0,88.42256
92.0,109.778564
71.0,87.29944
83.0,67.08933
74.0,73.55708
88.0,71.73834
84.0,81.29996
95.0,74.4643
87.0,72.275024
71.0,65.573296
57.0,52.24531
34.0,42.27274
41.0,31.949547
41.0,29.54637
23.0,25.40702
9.0,19.08181
7.0,6.978755
4.0,5.465441
9.0,2.7083147
12.0,12.491081
19.0,18.766663
20.0,30.553345
35.0,33.027805
51.0,53.31605
86.0,68.30402
77.0,100.79132
77.0,72.40792
76.0,69.693436
89.0,67.6306
91.0,80.07663
89.0,81.498314
85.0,75.27687
78.0,69.14512
53.0,61.37272
43.0,46.132256
35.0,37.15288
38.0,30.885685
27.0,27.661884
25.0,22.66713
26.0,19.205116
11.0,20.721188
5.0,8.509578
8.0,4.118225
9.0,11.130398
20.0,17.819326
35.0,33.638695
42.0,57.797417
82.0,59.077187
97.0,109.39322
98.0,104.18268
85.0,87.55446
81.0,68.110146
75.0,71.054955
96.0,76.61912
101.0,82.210335
108.0,81.36057
96.0,84.4873
93.0,69.844734
75.0,62.405315
40.0,49.4317
45.0,36.24341
30.999999999999996,33.144592
22.0,24.76885
7.0,19.75533
5.0,5.357843
5.0,4.1092114
5.0,2.5334656
3.0,10.144612
3.0,12.711578
12.0,14.217413
22.0,31.408693
30.0,42.3504
39.0,45.00098
25.0,50.46282
30.0,33.94837
32.0,40.200584
24.0,43.818645
41.0,46.215744
27.0,55.901085
40.0,44.498573
35.0,47.14879
88.0,44.917904
57.0,58.187023
61.99999999999999,40.234695
48.0,40.153507
33.0,32.149147
28.0,25.708815
17.0,20.652164
16.0,13.344809
8.0,15.057507
5.0,4.83916
6.0,10.423208
13.0,15.496785
36.0,26.095657
45.0,61.74072
90.0,65.50932
104.0,119.11969
97.0,108.653244
82.0,85.34044
84.0,74.04764
88.0,75.66385
94.0,81.57244
105.0,84.81832
120.0,88.13943
144.0,87.69273
125.0,100.09394
95.0,78.578926
88.0,63.6165
65.0,55.28767
58.0,43.15499
42.0,35.966156
24.0,26.539019
13.0,19.898638
11.0,9.411583
6.0,6.5834603
14.0,11.034044
21.0,22.071491
30.0,36.398155
49.0,50.518764
54.0,73.99552
105.0,68.4759
82.0,120.93814
101.0,73.98303
90.0,88.98435
118.0,77.121796
120.0,100.99471
97.0,102.68408
108.0,84.744606
107.0,84.00692
90.0,75.46639
58.0,60.777176
57.0,45.953613
56.0,39.834507
51.0,34.18919
32.0,29.294046
24.0,22.523304
15.0,19.617088
6.0,13.087315
11.0,4.5318294
7.0,13.448997
12.0,14.650482
36.0,23.898283
35.0,65.33613
55.0,49.1498
78.0,74.465
97.0,87.7868
88.0,93.974174
58.0,75.449295
66.0,54.633984
84.0,70.05122
100.0,85.165215
95.0,89.07809
93.0,81.00992
93.0,67.6358
83.0,65.558365
64.0,56.218815
59.0,45.450035
40.0,38.646183
41.0,29.437176
21.0,23.8413
14.0,16.630247
5.0,11.699347
8.0,3.567475
5.0,11.316702
20.0,14.097017
42.0,37.274223
57.0,72.4283
82.0,78.62512
91.0,97.47771
75.0,89.87383
67.0,69.21912
75.0,63.363605
78.0,67.356445
95.0,71.244
86.0,83.41416
75.0,75.43834
98.0,62.472446
73.0,72.38878
