Actual,Predicted
3,6.781207
3,6.2282476
4,6.246685
17,6.463619
33,19.640057
30,32.061535
36,43.077206
31,44.67552
30,43.172695
28,43.599308
12,35.916126
22,30.345024
38,31.689629
23,36.101524
27,30.287943
26,31.686258
25,31.682997
22,18.928673
18,16.241499
15,17.627283
14,11.268767
10,9.280096
3,11.710254
4,6.040847
2,6.1702423
2,6.2288704
5,6.232785
3,6.899604
14,8.455818
18,17.068596
40,31.545782
36,42.263203
31,43.082085
25,44.66349
40,35.283546
33,36.177204
33,43.076817
31,43.04248
47,39.990276
28,40.17751
19,30.259682
13,18.897503
12,9.6344595
13,11.301346
12,15.581269
5,6.010975
4,12.494063
3,6.141631
3,6.2411146
6,6.2286396
8,6.2363605
7,6.443454
18,11.452401
22,24.25847
33,36.010857
34,42.989014
29,43.082085
26,42.980675
36,39.982407
49,40.22912
33,43.08197
39,43.076904
23,43.14939
34,30.257368
23,31.683548
23,20.859333
9,17.26438
8,10.400492
11,9.930698
7,5.4945636
3,12.46747
4,6.501995
2,6.5571213
2,6.2294416
6,6.229644
12,6.657982
15,17.32073
19,28.599236
37,33.819
33,42.79867
29,43.082092
19,43.098213
30,33.397774
35,34.549297
32,43.080734
29,43.08026
34,42.802032
30,40.76188
26,30.734959
26,31.586615
21,19.22832
11,17.752928
11,10.477183
11,10.482756
9,12.488819
2,15.776768
3,11.197018
3,6.167801
6,6.2391453
11,6.3991766
13,16.391212
22,23.786146
33,32.721706
26,43.069565
34,43.081955
34,43.08197
35,43.08175
36,43.081764
45,43.082096
41,43.082096
58,43.082096
38,43.082096
32,30.38459
27,30.785019
22,18.901236
17,17.580688
13,16.845404
20,9.261823
8,19.633951
5,15.101559
5,10.665307
4,6.2251835
11,6.228882
30,15.490501
40,25.821423
70,43.069183
98,102.06673
92,121.126236
71,121.12625
83,121.12307
74,121.12634
88,121.01958
84,121.129616
95,121.1262
87,121.126236
71,121.12625
57,107.90144
34,51.56202
41,31.87464
41,30.95975
23,21.653585
9,18.120625
7,20.58922
4,14.683041
9,10.365898
12,7.47503
19,7.1743975
20,18.045635
35,31.036547
51,31.946426
86,93.562874
77,106.16582
77,121.12625
76,121.12625
89,121.12625
91,121.12625
89,121.12625
85,121.12625
78,121.126236
53,121.10953
43,56.136013
35,31.525328
38,30.838764
27,30.687233
25,20.101515
26,17.731237
11,29.571997
5,19.302969
8,11.93295
9,4.658373
20,6.355649
35,21.917126
42,31.832539
82,44.798172
97,102.06976
98,121.12625
85,121.12625
81,121.12625
75,121.12625
96,121.004906
101,121.130066
108,121.12625
96,121.12625
93,121.12625
75,121.12625
40,121.11929
45,34.57156
31,30.960325
22,18.932274
7,14.827839
5,20.589867
5,16.807587
5,11.964418
3,6.252637
3,6.228736
12,6.252391
22,15.968205
30,31.467392
39,43.04628
25,43.082085
30,43.082024
32,43.23657
24,43.08187
41,43.08201
27,43.08205
40,43.08116
35,43.081055
88,43.0772
57,98.2744
62,54.358612
48,40.214767
33,32.151005
28,18.396343
17,14.678901
16,20.594032
8,24.784594
5,20.205702
6,1.347735
13,6.233409
36,15.672895
45,31.020872
90,55.0262
104,102.28896
97,121.126236
82,121.12625
84,121.12625
88,121.12625
94,121.12625
105,121.12625
120,121.12625
144,121.12625
125,121.12625
95,121.12625
88,121.12625
65,121.12625
58,56.113033
42,31.577103
21,29.453037
14,24.609657
5,24.63669
8,13.167402
5,1.0225856
20,6.2295065
42,22.977015
57,47.294434
82,107.11346
91,121.126236
75,121.12625
67,121.12625
75,121.10629
78,121.12688
95,121.12625
86,121.12625
75,121.12625
98,120.90025
73,121.13328
60,120.71089
48,54.58809
53,31.694368
38,30.96037
37,18.148539
11,10.222995
10,20.58934
7,24.782564
5,11.039796
5,5.8652353
7,6.226061
23,6.400861
46,25.240349
62,64.0139
103,120.02002
101,121.12625
81,121.12625
63,121.12625
73,74.01369
95,113.21223
92,121.12762
94,121.12625
97,121.12625
73,121.12625
59,121.039345
31,52.95298
39,31.302027
37,30.648409
21,20.118273
10,17.54124
16,20.589716
6,16.04476
11,12.661073
9,8.924992
14,6.3179836
24,15.456693
50,30.051756
62,73.00163
92,121.2083
87,121.12625
82,121.12625
54,121.12625
97,56.168602
111,102.067055
83,121.12625
73,121.126236
89,57.808903
66,103.54921
46,56.27611
40,31.508732
31,30.960596
33,18.657267
21,15.86006
13,17.736162
8,20.589674
10,16.213598
4,17.642374
4,8.348039
10,6.0129423
21,8.230877
45,24.82203
50,45.42404
78,63.543755
75,105.82228
78,121.12625
70,121.12625
71,121.12615
71,107.38088
96,69.30086
