Actual,Predicted
5,18.959398
3,18.9561
5,18.956131
4,18.956245
8,18.956032
23,18.956032
29,18.956032
29,18.956034
22,18.956034
23,18.956034
20,18.956034
32,18.956034
33,18.956034
29,18.956034
38,18.956034
25,18.956034
26,18.956034
14,18.956034
12,18.956034
9,18.956034
7,18.956034
2,18.956034
5,18.956034
2,18.956034
2,18.956324
3,18.959682
5,18.956089
12,18.95603
14,18.956026
20,18.956032
28,18.956034
32,18.956032
34,18.956034
20,18.956034
19,18.956034
34,18.956038
39,18.956034
37,18.956034
38,18.956034
28,18.956034
32,18.956034
13,18.956034
16,18.956034
8,18.956034
9,18.956034
11,18.956034
5,18.956034
6,18.956034
2,22.553122
3,18.957445
3,18.957644
7,18.956081
8,18.956106
14,18.956026
33,18.956034
33,18.956034
35,18.956034
26,18.956034
40,18.956034
24,18.956034
30,18.956034
32,18.956034
31,18.956032
43,18.956032
26,18.956034
13,18.956034
19,18.956034
11,18.956034
8,18.956034
7,18.956034
8,18.956034
4,18.956034
5,18.97947
5,18.989103
2,18.956247
6,18.956251
20,18.956047
23,18.956026
22,18.956032
39,18.956038
25,18.956034
29,18.956034
36,18.956053
38,18.956034
47,18.956034
28,18.956034
46,18.956034
45,18.956034
25,18.956034
29,18.956034
9,18.956034
24,18.956034
6,18.956034
24,18.956034
13,18.956032
11,18.956032
6,28.698076
14,20.675024
21,19.02257
30,18.956161
49,19.00444
54,19.341272
105,24.527895
82,76.007904
101,54.01795
90,78.22121
118,85.28232
120,85.325714
97,85.330894
108,51.756756
107,77.31292
90,85.3307
58,48.561657
57,28.73084
56,28.698557
51,18.97103
32,18.963905
24,18.960505
15,18.956068
6,18.956034
11,28.698532
7,27.79718
12,18.956621
36,18.991713
35,18.956087
55,18.956123
78,28.697512
97,67.66945
88,83.3519
58,85.313065
66,48.196342
84,28.698557
100,28.696465
95,40.763275
93,28.904772
93,33.229187
83,29.12786
64,28.70384
59,28.698557
40,28.698557
41,19.160418
23,18.958221
14,18.956034
17,18.956032
9,28.698317
6,26.784685
14,28.10822
38,18.959263
47,18.956049
79,18.956644
97,76.00168
116,85.33026
99,85.330894
64,85.330894
85,48.257477
91,28.982294
82,30.624943
87,28.725803
89,28.702997
94,28.841509
61,69.24037
43,31.69997
41,28.698557
46,19.373755
31,18.956034
24,18.956034
15,18.956034
11,18.956034
6,28.698742
7,28.306883
13,19.201534
26,18.956514
42,18.956158
80,18.956923
85,67.74187
100,85.329254
78,85.33072
49,48.34591
72,28.7079
72,28.698557
85,18.957672
96,28.698204
106,32.251484
93,73.946045
43,39.327263
58,28.70334
56,28.698557
41,18.956034
27,18.957378
14,18.956171
14,18.956032
4,18.956032
10,26.642662
7,25.294
20,18.956099
34,18.992426
59,18.956114
76,19.484821
92,75.918274
112,85.31946
91,85.330894
75,85.33088
96,48.319557
100,76.02957
100,85.321
92,85.09654
106,47.584347
89,76.028076
60,48.35591
52,28.709005
51,28.698557
31,19.60956
23,18.956293
14,18.956078
15,18.956034
7,18.956032
6,28.19026
2,28.470942
12,18.959944
31,18.956367
52,18.956013
74,18.956448
87,75.59559
93,85.28487
87,85.33088
64,85.32558
57,48.239162
83,28.698557
107,28.698519
93,66.101685
106,48.988796
91,59.391426
69,29.751719
40,28.703043
65,28.698557
44,28.63785
19,18.956032
