time,total_sum,ratio
00:00:00,1331,0.005259203606311
01:00:00,1179,0.0042408821034775
02:00:00,996,0.002008032128514
03:00:00,922,0.0032537960954446
04:00:00,991,0.0030272452068617
05:00:00,1267,0.0031570639305445
06:00:00,1821,0.0093355299286106
07:00:00,2318,0.0142364106988783
08:00:00,2625,0.0114285714285714
09:00:00,3034,0.011865524060646
10:00:00,3139,0.0098757566103854
11:00:00,2903,0.0103341370995521
12:00:00,2971,0.009424436216762
13:00:00,3584,0.0033482142857142
14:00:00,3844,0.005723204994797
15:00:00,4029,0.0094316207495656
16:00:00,3761,0.0061153948417973
17:00:00,3455,0.0078147612156295
18:00:00,2972,0.0087483176312247
19:00:00,2532,0.0098736176935229
20:00:00,2268,0.009700176366843
21:00:00,1872,0.0096153846153846
22:00:00,1321,0.0113550340651021
23:00:00,1507,0.0092899800928998
00:00:00,1586,0.0063051702395964
01:00:00,1161,0.0025839793281653
02:00:00,993,0.0040281973816717
03:00:00,873,0.0022909507445589
04:00:00,949,0.0021074815595363
05:00:00,1151,0.0043440486533449
06:00:00,1722,0.0017421602787456
07:00:00,2218,0.0063119927862939
08:00:00,2890,0.0062283737024221
09:00:00,3185,0.0125588697017268
10:00:00,3330,0.0108108108108108
11:00:00,3211,0.0096543132980379
12:00:00,3143,0.0079541839007317
13:00:00,3773,0.0106016432547044
14:00:00,3924,0.0084097859327217
15:00:00,3997,0.008256192144108
16:00:00,3921,0.0079061463912267
17:00:00,3602,0.0130483064963908
18:00:00,3071,0.0091175512862259
19:00:00,2667,0.0071241094863142
20:00:00,2379,0.0054644808743169
21:00:00,2143,0.0055996266915538
22:00:00,1992,0.0065261044176706
23:00:00,1639,0.0073215375228798
00:00:00,1282,0.0039001560062402
01:00:00,1070,0.0037383177570093
02:00:00,1006,0.0029821073558648
04:00:00,941,0.0063761955366631
05:00:00,1272,0.0062893081761006
06:00:00,1661,0.0042143287176399
07:00:00,2326,0.0077386070507308
08:00:00,2846,0.0077301475755446
09:00:00,3455,0.0095513748191027
10:00:00,3446,0.0098665118978525
11:00:00,3139,0.0092386110226186
12:00:00,3235,0.0080370942812983
13:00:00,3836,0.0093847758081334
14:00:00,4153,0.0117986997351312
15:00:00,4179,0.0078966259870782
16:00:00,4057,0.0096130145427655
17:00:00,3794,0.0060622034791776
18:00:00,3163,0.0107492886500158
19:00:00,2836,0.0081100141043723
20:00:00,2623,0.0087685855890202
21:00:00,2355,0.0038216560509554
22:00:00,1959,0.0040837161817253
23:00:00,1717,0.0064065230052417
00:00:00,1480,0.0047297297297297
01:00:00,1178,0.0025466893039049
02:00:00,1114,0.0035906642728904
03:00:00,927,0.0021574973031283
