data_period,total
2024-06-22 00:00:00,623
2024-06-22 01:00:00,558
2024-06-22 02:00:00,524
2024-06-22 03:00:00,468
2024-06-22 04:00:00,493
2024-06-22 05:00:00,663
2024-06-22 06:00:00,764
2024-06-22 07:00:00,910
2024-06-22 08:00:00,1255
2024-06-22 09:00:00,1397
2024-06-22 10:00:00,1489
2024-06-22 11:00:00,1412
2024-06-22 12:00:00,1326
2024-06-22 13:00:00,1186
2024-06-22 14:00:00,1727
2024-06-22 15:00:00,2041
2024-06-22 16:00:00,1783
2024-06-22 17:00:00,1755
2024-06-22 18:00:00,1371
2024-06-22 19:00:00,1247
2024-06-22 20:00:00,1113
2024-06-22 21:00:00,1041
2024-06-22 22:00:00,866
2024-06-22 23:00:00,758
2024-06-23 00:00:00,677
2024-06-23 01:00:00,574
2024-06-23 02:00:00,539
2024-06-23 03:00:00,440
2024-06-23 04:00:00,561
2024-06-23 05:00:00,607
2024-06-23 06:00:00,803
2024-06-23 07:00:00,965
2024-06-23 08:00:00,1187
2024-06-23 09:00:00,1468
2024-06-23 10:00:00,1553
2024-06-23 11:00:00,1580
2024-06-23 12:00:00,1586
2024-06-23 13:00:00,1966
2024-06-23 14:00:00,2335
2024-06-23 15:00:00,2514
2024-06-23 16:00:00,2532
2024-06-23 17:00:00,2311
2024-06-23 18:00:00,1945
2024-06-23 19:00:00,1617
2024-06-23 20:00:00,1466
2024-06-23 21:00:00,1349
2024-06-23 22:00:00,1067
2024-06-23 23:00:00,897
2024-06-24 00:00:00,755
2024-06-24 01:00:00,707
2024-06-24 02:00:00,600
2024-06-24 03:00:00,605
2024-06-24 04:00:00,624
2024-06-24 05:00:00,760
2024-06-24 06:00:00,1035
2024-06-24 07:00:00,1148
2024-06-24 08:00:00,1201
2024-06-24 09:00:00,1362
2024-06-24 10:00:00,1422
2024-06-24 11:00:00,1392
2024-06-24 12:00:00,1519
2024-06-24 13:00:00,1854
2024-06-24 14:00:00,2055
2024-06-24 15:00:00,2223
2024-06-24 16:00:00,2078
2024-06-24 17:00:00,1919
2024-06-24 18:00:00,1586
2024-06-24 19:00:00,1296
2024-06-24 20:00:00,1168
2024-06-24 21:00:00,829
2024-06-24 22:00:00,524
2024-06-24 23:00:00,772
2024-06-25 00:00:00,1007
2024-06-25 01:00:00,678
2024-06-25 02:00:00,558
2024-06-25 03:00:00,514
2024-06-25 04:00:00,531
2024-06-25 05:00:00,649
2024-06-25 06:00:00,889
2024-06-25 07:00:00,1060
2024-06-25 08:00:00,1344
2024-06-25 09:00:00,1397
2024-06-25 10:00:00,1491
2024-06-25 11:00:00,1499
2024-06-25 12:00:00,1498
2024-06-25 13:00:00,1964
2024-06-25 14:00:00,2085
