data_period,total
2024-06-22 00:00:00,611
2024-06-22 01:00:00,616
2024-06-22 02:00:00,488
2024-06-22 03:00:00,448
2024-06-22 04:00:00,449
2024-06-22 05:00:00,593
2024-06-22 06:00:00,912
2024-06-22 07:00:00,1242
2024-06-22 08:00:00,1645
2024-06-22 09:00:00,1931
2024-06-22 10:00:00,2019
2024-06-22 11:00:00,1804
2024-06-22 12:00:00,1522
2024-06-22 13:00:00,1655
2024-06-22 14:00:00,1840
2024-06-22 15:00:00,1772
2024-06-22 16:00:00,1746
2024-06-22 17:00:00,1606
2024-06-22 18:00:00,1385
2024-06-22 19:00:00,1199
2024-06-22 20:00:00,1045
2024-06-22 21:00:00,1011
2024-06-22 22:00:00,840
2024-06-22 23:00:00,674
2024-06-23 00:00:00,587
2024-06-23 01:00:00,514
2024-06-23 02:00:00,437
2024-06-23 03:00:00,404
2024-06-23 04:00:00,414
2024-06-23 05:00:00,614
2024-06-23 06:00:00,850
2024-06-23 07:00:00,1194
2024-06-23 08:00:00,1486
2024-06-23 09:00:00,1733
2024-06-23 10:00:00,1736
2024-06-23 11:00:00,1626
2024-06-23 12:00:00,1437
2024-06-23 13:00:00,1580
2024-06-23 14:00:00,1786
2024-06-23 15:00:00,1792
2024-06-23 16:00:00,1661
2024-06-23 17:00:00,1570
2024-06-23 18:00:00,1256
2024-06-23 19:00:00,1159
2024-06-23 20:00:00,1016
2024-06-23 21:00:00,1004
2024-06-23 22:00:00,795
2024-06-23 23:00:00,663
2024-06-24 00:00:00,576
2024-06-24 01:00:00,472
2024-06-24 02:00:00,396
2024-06-24 03:00:00,317
2024-06-24 04:00:00,367
2024-06-24 05:00:00,507
2024-06-24 06:00:00,786
2024-06-24 07:00:00,1170
2024-06-24 08:00:00,1424
2024-06-24 09:00:00,1672
2024-06-24 10:00:00,1717
2024-06-24 11:00:00,1511
2024-06-24 12:00:00,1452
2024-06-24 13:00:00,1730
2024-06-24 14:00:00,1789
2024-06-24 15:00:00,1806
2024-06-24 16:00:00,1683
2024-06-24 17:00:00,1536
2024-06-24 18:00:00,1386
2024-06-24 19:00:00,1236
2024-06-24 20:00:00,1100
2024-06-24 21:00:00,1043
2024-06-24 22:00:00,797
2024-06-24 23:00:00,735
2024-06-25 00:00:00,579
2024-06-25 01:00:00,483
2024-06-25 02:00:00,435
